x1;x2;Clase
0.24033326;2.65936106;C1
7.21594897;3.2822869;C1
11.1487167;16.5251589;C2
11.31077;36.740755;C2
8.7980285;150.739092;C2
12.3128452;3.46424609;C1
14.3563646;27.2356295;C2
7.55607776;3.27713683;C1
1.16779077;2.59038073;C1
1.15726188;2.18638168;C2
4.74303415;3.28008028;C1
6.85750908;11.8555794;C2
4.57319864;3.14574577;C1
10.458388;3.45509926;C1
7.18939787;3.35470766;C1
7.59407331;14.5317836;C2
1.32847072;2.86762537;C2
4.82451857;3.23219081;C1
11.2828455;58.5434514;C2
4.27289651;16.265655;C2
5.08133183;18.6596478;C2
2.08105716;4.57779004;C2
9.44441053;25.1695738;C2
11.514481;14.966176;C2
12.018952;19.5919853;C2
2.84920804;4.18428956;C2
8.39609973;3.33221623;C1
7.51808222;3.33735785;C1
3.68465224;16.7482232;C2
7.47917112;45.0340366;C2
13.8189337;35.2171628;C2
2.53929258;3.38845726;C1
0.11169774;31.031496;C2
6.15024262;3.31973075;C1
5.80690939;3.25246304;C1
10.2803125;22.5973451;C2
7.10516678;3.49068142;C1
13.013245;3.42062661;C1
6.68263802;9.91122751;C2
10.4396191;42.8141856;C2
4.4656209;3.30581371;C1
5.23285623;3.39042884;C1
11.9425031;30.2314854;C2
7.60689108;3.40846815;C1
10.2839747;22.0444711;C2
5.16968291;14.4130865;C2
4.19965209;3.26619915;C1
3.11243019;3.41869999;C1
12.3389386;3.3977073;C1
6.61442915;3.30811226;C1
4.35117649;3.13679062;C1
8.42036195;10.5070401;C2
10.213477;3.4505612;C1
9.89211707;35.1929803;C2
4.96368297;3.21713231;C1
3.88332774;3.37341697;C1
7.18161565;14.3851868;C2
14.4460891;56.4319093;C2
2.34107486;4.2548288;C2
14.0414136;17.2030581;C2
3.38984344;3.25319652;C1
9.98504593;3.36899443;C1
3.15775018;3.30369274;C1
13.1272317;3.4572059;C1
12.1407208;3.37019501;C1
8.31049532;10.7852591;C2
9.07361064;3.32835144;C1
0.72374645;3.41119542;C1
8.74034852;15.2563629;C2
2.71691031;3.43019098;C1
11.4210944;3.39509568;C1
6.32648701;3.28064934;C1
11.6930143;3.40299681;C1
4.48530534;5.69809764;C2
5.9295938;8.70785554;C2
1.44611957;2.64899685;C2
11.0599078;3.49218424;C1
2.88995025;3.11614016;C1
14.9359111;160.260414;C2
9.90035707;13.9886034;C2
13.8212226;3.41271757;C1
7.82982879;95.5846707;C2
1.0176397;164.335747;C2
10.4977569;103.407967;C2
10.5096591;194.830758;C2
4.25641652;6.28909015;C2
14.9862667;3.40289683;C1
0.44724876;2.86555045;C1
7.4466689;8.92406165;C2
0.00640889;1.01827034;C2
14.6113468;66.176191;C2
14.7688223;3.42930231;C1
1.44703513;3.54272995;C2
10.7747124;3.35817666;C1
7.76757103;176.959802;C2
1.34769738;5.40356196;C2
0.9132664;2.01037839;C2
3.24427015;7.4912;C2
3.58439894;4.62635267;C2
2.05313272;3.40216623;C1
14.1819514;21.0392215;C2
9.44898831;3.34517377;C1
8.20612201;3.39491052;C1
0.36896878;1.43401999;C2
14.2524491;314.040705;C2
7.13675344;3.34060907;C1
8.51741081;3.47412766;C1
1.81783502;3.41876187;C1
11.7392499;3.40721499;C1
10.5815302;279.440933;C2
9.00723289;3.32631486;C1
10.275277;3.43365637;C1
7.0291757;3.31145209;C1
7.57942442;15.9896792;C2
10.9482101;3.34028963;C1
12.1901608;3.45772488;C1
10.1109348;3.45553116;C1
9.88616596;11.5213228;C2
10.744499;3.49052344;C1
6.33381146;18.0873626;C2
