x1;x2;Clase
10.2839747;3.01559496;C2
12.350383;3.34009827;C2
13.8189337;3.93047884;C2
11.4297922;3.88058107;C2
5.22067934;8.12689596;C1
5.61152989;5.30185858;C1
5.17270425;5.12604144;C1
0.02746666;3.36796167;C2
5.65749077;2.38560137;C1
5.90972625;5.89168981;C1
3.74242378;4.8844264;C1
3.41199988;8.53492843;C1
5.35535752;8.62465285;C1
5.12363048;5.3612476;C1
5.53334147;3.9660329;C1
5.95962401;3.74172185;C1
10.1004059;3.11111789;C2
5.25666066;3.00570696;C2
9.89211707;3.04449599;C2
4.71501816;6.42469558;C1
4.90856655;7.46571245;C1
10.1713614;3.51869259;C2
3.4636372;3.73616749;C1
4.19251076;3.12219611;C1
10.4849391;3.75612659;C2
3.87307352;4.37876522;C1
5.26581622;3.54325999;C1
6.85750908;3.90728477;C2
2.59559923;3.49879452;C2
1.44611957;3.86489456;C2
12.7266762;3.49256874;C2
14.0414136;3.23700674;C2
